rho,l,C11,C12,C44,duration,name,material,R,z1,l/R,Ct,eta1,eta2,eta3,eta4,eta5,eta6,link
3.515,2.0,1280000000.0,124000000.0,578000000.0,48603.060301,CarbSphere_5.0_2.0_20250427-234304,Carbonium,5.0,0.6,0.4,12823.342868880141,3.9286931,3.9607009,4.2034383,4.2195297,4.8196928,5.3626375,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_5.0_2.0_0.6_20250427-234304.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,48603.060301,CarbSphere_5.0_2.0_20250427-234304,Carbonium,5.0,0.7,0.4,12823.342868880141,4.2328535,4.2674547,4.5041418,4.5211534,5.1932306,5.7340704,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_5.0_2.0_0.7_20250427-234304.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,48603.060301,CarbSphere_5.0_2.0_20250427-234304,Carbonium,5.0,0.8,0.4,12823.342868880141,4.5165729,4.5535867,4.7855377,4.8034267,5.5416397,6.0826589,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_5.0_2.0_0.8_20250427-234304.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,48603.060301,CarbSphere_5.0_2.0_20250427-234304,Carbonium,5.0,0.9,0.4,12823.342868880141,4.7834911,4.82277,5.050994,5.0697224,5.8693989,6.4121943,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_5.0_2.0_0.9_20250427-234304.json&mode=6&magnif=6
3.515,5.0,1280000000.0,124000000.0,578000000.0,48767.541136,CarbSphere_5.0_5.0_20250427-234304,Carbonium,5.0,0.1,1.0,12823.342868880141,1.6004026,1.6134788,1.7345752,1.7415514,1.9634142,2.2264837,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_5.0_5.0_0.1_20250427-234304.json&mode=6&magnif=6
3.515,5.0,1280000000.0,124000000.0,578000000.0,48767.541136,CarbSphere_5.0_5.0_20250427-234304,Carbonium,5.0,0.2,1.0,12823.342868880141,2.2571988,2.2757085,2.4092079,2.4184499,2.7694767,3.0717807,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_5.0_5.0_0.2_20250427-234304.json&mode=6&magnif=6
3.515,5.0,1280000000.0,124000000.0,578000000.0,48767.541136,CarbSphere_5.0_5.0_20250427-234304,Carbonium,5.0,0.3,1.0,12823.342868880141,2.7619914,2.7846682,2.9318093,2.9428709,3.3889514,3.729809,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_5.0_5.0_0.3_20250427-234304.json&mode=6&magnif=6
3.515,5.0,1280000000.0,124000000.0,578000000.0,48767.541136,CarbSphere_5.0_5.0_20250427-234304,Carbonium,5.0,0.4,1.0,12823.342868880141,3.1878276,3.2140166,3.3742593,3.3868829,3.9115186,4.2879326,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_5.0_5.0_0.4_20250427-234304.json&mode=6&magnif=6
3.515,5.0,1280000000.0,124000000.0,578000000.0,48767.541136,CarbSphere_5.0_5.0_20250427-234304,Carbonium,5.0,0.5,1.0,12823.342868880141,3.5631295,3.5924126,3.76501,3.7790235,4.3720662,4.7813132,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_5.0_5.0_0.5_20250427-234304.json&mode=6&magnif=6
3.515,5.0,1280000000.0,124000000.0,578000000.0,48767.541136,CarbSphere_5.0_5.0_20250427-234304,Carbonium,5.0,0.6,1.0,12823.342868880141,3.9025042,3.9345842,4.1188289,4.1341066,4.7885224,5.2283263,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_5.0_5.0_0.6_20250427-234304.json&mode=6&magnif=6
