rho,l,C11,C12,C44,duration,name,material,R,z1,l/R,Ct,eta1,eta2,eta3,eta4,eta5,eta6,count_eta1,count_eta2,count_eta3,count_eta4,count_eta5,count_eta6,link
5.323,1.0,128900000.0,48300000.0,67099999.99999999,56087.536748,Cube_8.0599575_1.0_20250610-180827,Germanium cubic,5.0,0.3,0.2,3550.446942624478,1.2861569,1.4220822,1.4601814,1.6495953,1.6952511,1.724636,2,3,1,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_1.0_0.3_20250610-180827.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,56103.580766,Cube_8.0599575_1.0_20250610-180836,Carbon cubic,5.0,0.3,0.2,12823.342868880141,1.2949855,1.5955844,1.6953684,1.7001034,1.7607904,1.8026055,2,3,3,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_1.0_0.3_20250610-180836.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,56074.289299,Cube_8.0599575_1.0_20250610-180822,Silicon cubic,5.0,0.4,0.2,5846.174706140654,1.3748944,1.5558331,1.6420457,1.8208296,1.8672453,1.91163,2,3,1,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_1.0_0.4_20250610-180822.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,56087.536748,Cube_8.0599575_1.0_20250610-180827,Germanium cubic,5.0,0.4,0.2,3550.446942624478,1.3727758,1.5100973,1.59098,1.7841381,1.8109916,1.849576,2,3,1,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_1.0_0.4_20250610-180827.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,56103.580766,Cube_8.0599575_1.0_20250610-180836,Carbon cubic,5.0,0.4,0.2,12823.342868880141,1.3808194,1.700279,1.8119204,1.8510906,1.9051855,1.9680446,2,3,3,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_1.0_0.4_20250610-180836.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,56074.289299,Cube_8.0599575_1.0_20250610-180822,Silicon cubic,5.0,0.5,0.2,5846.174706140654,1.4543224,1.6401261,1.7663685,1.9439396,1.9762171,1.9788014,2,3,1,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_1.0_0.5_20250610-180822.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,56087.536748,Cube_8.0599575_1.0_20250610-180827,Germanium cubic,5.0,0.5,0.2,3550.446942624478,1.4523556,1.5917982,1.7115975,1.9068549,1.9150714,1.916069,2,3,1,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_1.0_0.5_20250610-180827.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,56103.580766,Cube_8.0599575_1.0_20250610-180836,Carbon cubic,5.0,0.5,0.2,12823.342868880141,1.4598438,1.7963439,1.9179626,1.9903483,2.0327397,2.1199383,2,3,3,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_1.0_0.5_20250610-180836.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,56074.289299,Cube_8.0599575_1.0_20250610-180822,Silicon cubic,5.0,0.6,0.2,5846.174706140654,1.5285438,1.7194534,1.8823794,2.0349879,2.0559292,2.0773145,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_1.0_0.6_20250610-180822.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,56087.536748,Cube_8.0599575_1.0_20250610-180827,Germanium cubic,5.0,0.6,0.2,3550.446942624478,1.526685,1.6687164,1.8241447,1.9694089,2.0136568,2.0196511,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_1.0_0.6_20250610-180827.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,56103.580766,Cube_8.0599575_1.0_20250610-180836,Carbon cubic,5.0,0.6,0.2,12823.342868880141,1.5337672,1.8861202,2.0165181,2.1203198,2.1422423,2.2556127,2,3,3,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_1.0_0.6_20250610-180836.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,56074.289299,Cube_8.0599575_1.0_20250610-180822,Silicon cubic,5.0,0.7,0.2,5846.174706140654,1.5986356,1.7947767,1.991575,2.0878127,2.1575834,2.1724083,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_1.0_0.7_20250610-180822.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,56087.536748,Cube_8.0599575_1.0_20250610-180827,Germanium cubic,5.0,0.7,0.2,3550.446942624478,1.5968561,1.7417698,1.9300752,2.0204961,2.1055153,2.1235153,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_1.0_0.7_20250610-180827.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,56103.580766,Cube_8.0599575_1.0_20250610-180836,Carbon cubic,5.0,0.7,0.2,12823.342868880141,1.6036338,1.9709627,2.1093052,2.2330129,2.2426795,2.3540527,2,3,3,3,1,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_1.0_0.7_20250610-180836.json&mode=6&magnif=6
