rho,l,C11,C12,C44,duration,name,material,R,z1,l/R,Ct,eta1,eta2,eta3,eta4,eta5,eta6,count_eta1,count_eta2,count_eta3,count_eta4,count_eta5,count_eta6,link
5.323,1.0,128900000.0,48300000.0,67099999.99999999,3338.419688,Sphere_0.5_1.0_20250617-111815,Germanium cubic,0.5,0.9,2.0,3550.446942624478,2.0106329,2.0197655,2.375436,2.5358266,2.8121009,2.9716313,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_0.5_1.0_0.9_20250617-111815.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,3351.517615,Sphere_0.5_1.0_20250617-112035,Silicon cubic,0.5,0.9,2.0,5846.174706140654,2.0727636,2.0761788,2.3790789,2.5433134,2.9015105,3.0649935,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_0.5_1.0_0.9_20250617-112035.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,3338.677068,Sphere_0.5_1.0_20250617-111521,Carbon cubic,0.5,1.0,2.0,12823.342868880141,4.4e-06,2.3986898,2.4405927,2.5196249,2.6711669,2.9401984,1,3,2,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_0.5_1.0_1.0_20250617-111521.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,3338.419688,Sphere_0.5_1.0_20250617-111815,Germanium cubic,0.5,1.0,2.0,3550.446942624478,2.1183404,2.1288943,2.503781,2.6717733,2.9640562,3.1323392,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_0.5_1.0_1.0_20250617-111815.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,3351.517615,Sphere_0.5_1.0_20250617-112035,Silicon cubic,0.5,1.0,2.0,5846.174706140654,2.1847559,2.1873989,2.5076203,2.6796447,3.058297,3.2307505,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_0.5_1.0_1.0_20250617-112035.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,3412.828021,Sphere_1.0_1.0_20250617-101402,Carbon cubic,1.0,0.0,1.0,12823.342868880141,0.0350752,0.0351333,0.0352287,0.0355398,0.035742,0.0358033,3,2,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_1.0_1.0_0.0_20250617-101402.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,3382.109083,Sphere_1.0_1.0_20250617-101419,Germanium cubic,1.0,0.0,1.0,3550.446942624478,0.0351211,0.0351935,0.0352946,0.0353218,0.0354054,0.0355506,3,2,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_1.0_1.0_0.0_20250617-101419.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,3380.650724,Sphere_1.0_1.0_20250617-101437,Silicon cubic,1.0,0.0,1.0,5846.174706140654,0.03564,0.0357138,0.0358324,0.036015,0.0361,0.036256,3,2,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_1.0_1.0_0.0_20250617-101437.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,3412.828021,Sphere_1.0_1.0_20250617-101402,Carbon cubic,1.0,0.1,1.0,12823.342868880141,0.7939049,0.834423,0.8901618,0.9689458,0.9722346,1.1600868,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_1.0_1.0_0.1_20250617-101402.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,3382.109083,Sphere_1.0_1.0_20250617-101419,Germanium cubic,1.0,0.1,1.0,3550.446942624478,0.7045104,0.7828442,0.8288261,0.9711107,0.9770845,1.00242,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_1.0_1.0_0.1_20250617-101419.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,3380.650724,Sphere_1.0_1.0_20250617-101437,Silicon cubic,1.0,0.1,1.0,5846.174706140654,0.7230135,0.808251,0.8301869,0.97683,1.0082054,1.0339241,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_1.0_1.0_0.1_20250617-101437.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,3412.828021,Sphere_1.0_1.0_20250617-101402,Carbon cubic,1.0,0.2,1.0,12823.342868880141,1.0953069,1.1508591,1.1780593,1.2863563,1.3420389,1.5586001,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_1.0_1.0_0.2_20250617-101402.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,3382.109083,Sphere_1.0_1.0_20250617-101419,Germanium cubic,1.0,0.2,1.0,3550.446942624478,0.9720457,1.0283696,1.1434098,1.2879572,1.3510956,1.4083269,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_1.0_1.0_0.2_20250617-101419.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,3380.650724,Sphere_1.0_1.0_20250617-101437,Silicon cubic,1.0,0.2,1.0,5846.174706140654,0.9975629,1.0618142,1.1452175,1.29329,1.3940855,1.4525801,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_1.0_1.0_0.2_20250617-101437.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,3412.828021,Sphere_1.0_1.0_20250617-101402,Carbon cubic,1.0,0.3,1.0,12823.342868880141,1.3300342,1.3973317,1.4020868,1.5325181,1.6299158,1.8370663,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_1.0_1.0_0.3_20250617-101402.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,3382.109083,Sphere_1.0_1.0_20250617-101419,Germanium cubic,1.0,0.3,1.0,3550.446942624478,1.1803896,1.2209569,1.3883949,1.533777,1.6418503,1.72102,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_1.0_1.0_0.3_20250617-101419.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,3380.650724,Sphere_1.0_1.0_20250617-101437,Silicon cubic,1.0,0.3,1.0,5846.174706140654,1.2113707,1.2607014,1.3905623,1.539325,1.6940748,1.7750955,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_1.0_1.0_0.3_20250617-101437.json&mode=6&magnif=6
