rho,l,C11,C12,C44,duration,name,material,R,z1,l/R,Ct,eta1,eta2,eta3,eta4,eta5,eta6
5.323,2.0,182500000.0,48300000.0,67100000.0,14781.461569,GermCube_8.05_2.0_20250428-105451,Germanium,4.993796526054591,0.4,0.40049689440993785,3550.4469426244787,1.2151578,1.6336989,1.7708233,1.8254124,1.8466126,1.9468323
5.323,2.0,182500000.0,48300000.0,67100000.0,14781.461569,GermCube_8.05_2.0_20250428-105451,Germanium,4.993796526054591,0.5,0.40049689440993785,3550.4469426244787,1.3286155,1.7845064,1.9098127,2.0210358,2.0211003,2.1367763
5.323,2.0,182500000.0,48300000.0,67100000.0,14781.461569,GermCube_8.05_2.0_20250428-105451,Germanium,4.993796526054591,0.6,0.40049689440993785,3550.4469426244787,1.4328421,1.9231785,2.0334363,2.1809381,2.1994296,2.3139566
5.323,2.0,182500000.0,48300000.0,67100000.0,14781.461569,GermCube_8.05_2.0_20250428-105451,Germanium,4.993796526054591,0.7,0.40049689440993785,3550.4469426244787,1.5298308,2.0523134,2.1469878,2.3295516,2.3643378,2.4536004
5.323,2.0,182500000.0,48300000.0,67100000.0,14781.461569,GermCube_8.05_2.0_20250428-105451,Germanium,4.993796526054591,0.8,0.40049689440993785,3550.4469426244787,1.6209334,2.1736773,2.2531424,2.4690322,2.5184657,2.5660593
5.323,2.0,182500000.0,48300000.0,67100000.0,14781.461569,GermCube_8.05_2.0_20250428-105451,Germanium,4.993796526054591,0.9,0.40049689440993785,3550.4469426244787,1.707121,2.288542,2.3534725,2.6009128,2.663687,2.6727801
5.323,2.0,182500000.0,48300000.0,67100000.0,14781.461569,GermCube_8.05_2.0_20250428-105451,Germanium,4.993796526054591,1.0,0.40049689440993785,3550.4469426244787,1.7891205,2.3978622,2.4490084,2.7263331,2.7748358,2.801388
5.323,5.0,182500000.0,48300000.0,67100000.0,14786.30362,GermCube_8.05_5.0_20250428-105451,Germanium,4.993796526054591,0.0,1.0012422360248447,3550.4469426244787,0.0286048,0.0286052,0.0286445,0.0286907,0.0287448,0.0297479
5.323,5.0,182500000.0,48300000.0,67100000.0,14786.30362,GermCube_8.05_5.0_20250428-105451,Germanium,4.993796526054591,0.1,1.0012422360248447,3550.4469426244787,0.5883412,0.7906674,0.8824999,0.8942289,0.8955608,0.9510733
5.323,5.0,182500000.0,48300000.0,67100000.0,14786.30362,GermCube_8.05_5.0_20250428-105451,Germanium,4.993796526054591,0.2,1.0012422360248447,3550.4469426244787,0.8146206,1.0931443,1.1769162,1.2407812,1.2580851,1.3207366
5.323,5.0,182500000.0,48300000.0,67100000.0,14786.30362,GermCube_8.05_5.0_20250428-105451,Germanium,4.993796526054591,0.3,1.0012422360248447,3550.4469426244787,0.99038,1.3283193,1.4032294,1.5087835,1.5381498,1.6035172
5.323,5.0,182500000.0,48300000.0,67100000.0,14786.30362,GermCube_8.05_5.0_20250428-105451,Germanium,4.993796526054591,0.4,1.0012422360248447,3550.4469426244787,1.139317,1.5276826,1.5961542,1.7358458,1.7745507,1.8194414
5.323,5.0,182500000.0,48300000.0,67100000.0,14786.30362,GermCube_8.05_5.0_20250428-105451,Germanium,4.993796526054591,0.5,1.0012422360248447,3550.4469426244787,1.2709097,1.7038666,1.7675608,1.9364478,1.9829661,2.0111664
5.323,5.0,182500000.0,48300000.0,67100000.0,14786.30362,GermCube_8.05_5.0_20250428-105451,Germanium,4.993796526054591,0.6,1.0012422360248447,3550.4469426244787,1.3900966,1.8634623,1.9234829,2.1181284,2.1714693,2.1856799
5.323,5.0,182500000.0,48300000.0,67100000.0,14786.30362,GermCube_8.05_5.0_20250428-105451,Germanium,4.993796526054591,0.7,1.0012422360248447,3550.4469426244787,1.4998398,2.0104258,2.0675352,2.2854075,2.3448674,2.3470304
5.323,5.0,182500000.0,48300000.0,67100000.0,14786.30362,GermCube_8.05_5.0_20250428-105451,Germanium,4.993796526054591,0.8,1.0012422360248447,3550.4469426244787,1.6020818,2.1473532,2.2020993,2.4412488,2.497857,2.5062975
5.323,5.0,182500000.0,48300000.0,67100000.0,14786.30362,GermCube_8.05_5.0_20250428-105451,Germanium,4.993796526054591,0.9,1.0012422360248447,3550.4469426244787,1.6981785,2.2760571,2.3288473,2.5877203,2.6400065,2.6579411
5.323,5.0,182500000.0,48300000.0,67100000.0,14786.30362,GermCube_8.05_5.0_20250428-105451,Germanium,4.993796526054591,1.0,1.0012422360248447,3550.4469426244787,1.7891205,2.3978622,2.4490084,2.7263331,2.7748358,2.801388
3.515,2.0,1280000000.0,124000000.0,578000000.0,9460.717367,SiCube_16.1_2.0_20250428-151012,Carbonium,9.987593052109181,0.0,0.20024844720496893,12823.342868880141,0.673764,0.6740282,0.6742996,0.6755041,0.6779261,0.6961454
5.323,2.0,182500000.0,48300000.0,67100000.0,9495.698415,SiCube_16.1_2.0_20250428-151024,Germanium,9.987593052109181,0.0,0.20024844720496893,3550.4469426244787,0.6912129,0.6913027,0.6918153,0.6920855,0.6935722,0.7129816
2.329,2.0,223100000.0,63900000.0,79600000.0,9473.302127,SiCube_16.1_2.0_20250428-151205,Siliconium,9.987593052109181,0.0,0.20024844720496893,5846.174706140654,0.6935267,0.6936868,0.6941978,0.6942963,0.6956319,0.7151866
3.515,2.0,1280000000.0,124000000.0,578000000.0,9460.717367,SiCube_16.1_2.0_20250428-151012,Carbonium,9.987593052109181,0.1,0.20024844720496893,12823.342868880141,1.0861147,1.422357,1.4677295,1.4695329,1.4726195,1.5163463
5.323,2.0,182500000.0,48300000.0,67100000.0,9495.698415,SiCube_16.1_2.0_20250428-151024,Germanium,9.987593052109181,0.1,0.20024844720496893,3550.4469426244787,1.0874178,1.4588963,1.4692542,1.5225442,1.5752731,1.6316893
2.329,2.0,223100000.0,63900000.0,79600000.0,9473.302127,SiCube_16.1_2.0_20250428-151205,Siliconium,9.987593052109181,0.1,0.20024844720496893,5846.174706140654,1.0875513,1.4618191,1.4694584,1.5272387,1.5862919,1.644028
3.515,2.0,1280000000.0,124000000.0,578000000.0,9460.717367,SiCube_16.1_2.0_20250428-151012,Carbonium,9.987593052109181,0.2,0.20024844720496893,12823.342868880141,1.1980987,1.5827265,1.6512992,1.6734405,1.6775549,1.7486722
5.323,2.0,182500000.0,48300000.0,67100000.0,9495.698415,SiCube_16.1_2.0_20250428-151024,Germanium,9.987593052109181,0.2,0.20024844720496893,3550.4469426244787,1.1988667,1.6150872,1.6747504,1.7178767,1.7825096,1.8892104
2.329,2.0,223100000.0,63900000.0,79600000.0,9473.302127,SiCube_16.1_2.0_20250428-151205,Siliconium,9.987593052109181,0.2,0.20024844720496893,5846.174706140654,1.1989506,1.6179521,1.6749501,1.721328,1.7965918,1.9046456
3.515,2.0,1280000000.0,124000000.0,578000000.0,9460.717367,SiCube_16.1_2.0_20250428-151012,Carbonium,9.987593052109181,0.3,0.20024844720496893,12823.342868880141,1.2927729,1.7121644,1.7948673,1.843732,1.8534164,1.9467815
5.323,2.0,182500000.0,48300000.0,67100000.0,9495.698415,SiCube_16.1_2.0_20250428-151024,Germanium,9.987593052109181,0.3,0.20024844720496893,3550.4469426244787,1.2933644,1.7420098,1.8548629,1.8718235,1.9434887,2.0802623
2.329,2.0,223100000.0,63900000.0,79600000.0,9473.302127,SiCube_16.1_2.0_20250428-151205,Siliconium,9.987593052109181,0.3,0.20024844720496893,5846.174706140654,1.2934319,1.7447493,1.8550921,1.8740083,1.9595967,2.0888895
3.515,2.0,1280000000.0,124000000.0,578000000.0,9460.717367,SiCube_16.1_2.0_20250428-151012,Carbonium,9.987593052109181,0.4,0.20024844720496893,12823.342868880141,1.3777121,1.8262473,1.9198652,1.9801127,2.0164659,2.113027
5.323,2.0,182500000.0,48300000.0,67100000.0,9495.698415,SiCube_16.1_2.0_20250428-151024,Germanium,9.987593052109181,0.4,0.20024844720496893,3550.4469426244787,1.3782239,1.8546538,1.9949658,2.0181032,2.0822857,2.2037492
2.329,2.0,223100000.0,63900000.0,79600000.0,9473.302127,SiCube_16.1_2.0_20250428-151205,Siliconium,9.987593052109181,0.4,0.20024844720496893,5846.174706140654,1.3782842,1.8573128,1.9961366,2.0183658,2.0999647,2.2135912
3.515,2.0,1280000000.0,124000000.0,578000000.0,9460.717367,SiCube_16.1_2.0_20250428-151012,Carbonium,9.987593052109181,0.5,0.20024844720496893,12823.342868880141,1.4560151,1.9305719,2.033294,2.0876808,2.1668817,2.2286089
5.323,2.0,182500000.0,48300000.0,67100000.0,9495.698415,SiCube_16.1_2.0_20250428-151024,Germanium,9.987593052109181,0.5,0.20024844720496893,3550.4469426244787,1.4564857,1.958161,2.0948802,2.1687155,2.2074863,2.3294959
2.329,2.0,223100000.0,63900000.0,79600000.0,9473.302127,SiCube_16.1_2.0_20250428-151205,Siliconium,9.987593052109181,0.5,0.20024844720496893,5846.174706140654,1.4565423,1.9607766,2.0955605,2.1690107,2.2264876,2.3400793
3.515,2.0,1280000000.0,124000000.0,578000000.0,9460.717367,SiCube_16.1_2.0_20250428-151012,Carbonium,9.987593052109181,0.6,0.20024844720496893,12823.342868880141,1.5293275,2.0278499,2.1385191,2.1741854,2.3073067,2.3494922
5.323,2.0,182500000.0,48300000.0,67100000.0,9495.698415,SiCube_16.1_2.0_20250428-151024,Germanium,9.987593052109181,0.6,0.20024844720496893,3550.4469426244787,1.5297759,2.0549974,2.1795427,2.3093313,2.3231857,2.4549738
2.329,2.0,223100000.0,63900000.0,79600000.0,9473.302127,SiCube_16.1_2.0_20250428-151205,Siliconium,9.987593052109181,0.6,0.20024844720496893,5846.174706140654,1.5298307,2.0575948,2.180092,2.3096573,2.3433532,2.4659669
3.515,2.0,1280000000.0,124000000.0,578000000.0,9460.717367,SiCube_16.1_2.0_20250428-151012,Carbonium,9.987593052109181,0.7,0.20024844720496893,12823.342868880141,1.5986593,2.119642,2.2374538,2.2488995,2.4395435,2.4698377
5.323,2.0,182500000.0,48300000.0,67100000.0,9495.698415,SiCube_16.1_2.0_20250428-151024,Germanium,9.987593052109181,0.7,0.20024844720496893,3550.4469426244787,1.5990958,2.1465868,2.2546451,2.4316867,2.4417501,2.5778142
2.329,2.0,223100000.0,63900000.0,79600000.0,9473.302127,SiCube_16.1_2.0_20250428-151205,Siliconium,9.987593052109181,0.7,0.20024844720496893,5846.174706140654,1.5991498,2.149183,2.2552101,2.4421053,2.4529133,2.5890854
3.515,2.0,1280000000.0,124000000.0,578000000.0,9460.717367,SiCube_16.1_2.0_20250428-151012,Carbonium,9.987593052109181,0.8,0.20024844720496893,12823.342868880141,1.6646909,2.2069535,2.3168579,2.3313141,2.5648979,2.5868979
5.323,2.0,182500000.0,48300000.0,67100000.0,9495.698415,SiCube_16.1_2.0_20250428-151024,Germanium,9.987593052109181,0.8,0.20024844720496893,3550.4469426244787,1.6651218,2.2338545,2.3234793,2.5344356,2.5672777,2.6546573
2.329,2.0,223100000.0,63900000.0,79600000.0,9473.302127,SiCube_16.1_2.0_20250428-151205,Siliconium,9.987593052109181,0.8,0.20024844720496893,5846.174706140654,1.6651755,2.2364609,2.3241043,2.5566423,2.5676604,2.6550554
3.515,2.0,1280000000.0,124000000.0,578000000.0,9460.717367,SiCube_16.1_2.0_20250428-151012,Carbonium,9.987593052109181,0.9,0.20024844720496893,12823.342868880141,1.7279116,2.290485,2.3804093,2.4209356,2.684356,2.6999455
5.323,2.0,182500000.0,48300000.0,67100000.0,9495.698415,SiCube_16.1_2.0_20250428-151024,Germanium,9.987593052109181,0.9,0.20024844720496893,3550.4469426244787,1.7283408,2.3174514,2.3879009,2.6324151,2.6869006,2.7156475
2.329,2.0,223100000.0,63900000.0,79600000.0,9473.302127,SiCube_16.1_2.0_20250428-151205,Siliconium,9.987593052109181,0.9,0.20024844720496893,5846.174706140654,1.7283947,2.3200762,2.3885937,2.6555408,2.6873095,2.7160656
3.515,2.0,1280000000.0,124000000.0,578000000.0,9460.717367,SiCube_16.1_2.0_20250428-151012,Carbonium,9.987593052109181,1.0,0.20024844720496893,12823.342868880141,1.7886903,2.3707533,2.4407569,2.5069263,2.7719069,2.7986863
5.323,2.0,182500000.0,48300000.0,67100000.0,9495.698415,SiCube_16.1_2.0_20250428-151024,Germanium,9.987593052109181,1.0,0.20024844720496893,3550.4469426244787,1.7891205,2.3978622,2.4490084,2.7263331,2.7748358,2.801388
2.329,2.0,223100000.0,63900000.0,79600000.0,9473.302127,SiCube_16.1_2.0_20250428-151205,Siliconium,9.987593052109181,1.0,0.20024844720496893,5846.174706140654,1.7891748,2.400511,2.4497652,2.7503287,2.7752774,2.8018217
3.515,5.0,1280000000.0,124000000.0,578000000.0,15281.333427,SiCube_16.1_5.0_20250428-151818,Carbonium,9.987593052109181,0.0,0.5006211180124224,12823.342868880141,0.1109141,0.1109229,0.1111284,0.1114003,0.1117348,0.1153231
5.323,5.0,182500000.0,48300000.0,67100000.0,15315.300907,SiCube_16.1_5.0_20250428-152041,Germanium,9.987593052109181,0.0,0.5006211180124224,3550.4469426244787,0.1139181,0.1139187,0.1140764,0.1142607,0.1144796,0.1183226
2.329,5.0,223100000.0,63900000.0,79600000.0,15340.476918,SiCube_16.1_5.0_20250428-152319,Siliconium,9.987593052109181,0.0,0.5006211180124224,5846.174706140654,0.1143275,0.1143278,0.1144746,0.114643,0.1148415,0.1187168
3.515,5.0,1280000000.0,124000000.0,578000000.0,15281.333427,SiCube_16.1_5.0_20250428-151818,Carbonium,9.987593052109181,0.1,0.5006211180124224,12823.342868880141,0.6971918,0.9282435,0.9663042,0.9712921,0.9807672,1.0219709
5.323,5.0,182500000.0,48300000.0,67100000.0,15315.300907,SiCube_16.1_5.0_20250428-152041,Germanium,9.987593052109181,0.1,0.5006211180124224,3550.4469426244787,0.6974924,0.9440292,0.9671777,1.0082748,1.0498137,1.0990593
2.329,5.0,223100000.0,63900000.0,79600000.0,15340.476918,SiCube_16.1_5.0_20250428-152319,Siliconium,9.987593052109181,0.1,0.5006211180124224,5846.174706140654,0.6975283,0.9454473,0.9673184,1.0107492,1.0583138,1.1073918
3.515,5.0,1280000000.0,124000000.0,578000000.0,15281.333427,SiCube_16.1_5.0_20250428-151818,Carbonium,9.987593052109181,0.2,0.5006211180124224,12823.342868880141,0.8913921,1.1848652,1.2469239,1.3040065,1.3041557,1.3794815
5.323,5.0,182500000.0,48300000.0,67100000.0,15315.300907,SiCube_16.1_5.0_20250428-152041,Germanium,9.987593052109181,0.2,0.5006211180124224,3550.4469426244787,0.8916792,1.2016166,1.3053714,1.3235945,1.3524648,1.4376654
2.329,5.0,223100000.0,63900000.0,79600000.0,15340.476918,SiCube_16.1_5.0_20250428-152319,Siliconium,9.987593052109181,0.2,0.5006211180124224,5846.174706140654,0.8917145,1.2031991,1.3055671,1.3250088,1.3639678,1.4433733
3.515,5.0,1280000000.0,124000000.0,578000000.0,15281.333427,SiCube_16.1_5.0_20250428-151818,Carbonium,9.987593052109181,0.3,0.5006211180124224,12823.342868880141,1.0476246,1.3911206,1.4668924,1.5361638,1.5708154,1.6096732
5.323,5.0,182500000.0,48300000.0,67100000.0,15315.300907,SiCube_16.1_5.0_20250428-152041,Germanium,9.987593052109181,0.3,0.5006211180124224,3550.4469426244787,1.0479255,1.4092708,1.5422481,1.5722994,1.5928634,1.6805667
2.329,5.0,223100000.0,63900000.0,79600000.0,15340.476918,SiCube_16.1_5.0_20250428-152319,Siliconium,9.987593052109181,0.3,0.5006211180124224,5846.174706140654,1.0479628,1.4110104,1.5427906,1.572538,1.6066162,1.688045
3.515,5.0,1280000000.0,124000000.0,578000000.0,15281.333427,SiCube_16.1_5.0_20250428-151818,Carbonium,9.987593052109181,0.4,0.5006211180124224,12823.342868880141,1.182726,1.5695699,1.6567207,1.7092248,1.7983287,1.8226298
5.323,5.0,182500000.0,48300000.0,67100000.0,15315.300907,SiCube_16.1_5.0_20250428-152041,Germanium,9.987593052109181,0.4,0.5006211180124224,3550.4469426244787,1.1830456,1.5891607,1.7134473,1.7999901,1.80004,1.9032954
2.329,5.0,223100000.0,63900000.0,79600000.0,15340.476918,SiCube_16.1_5.0_20250428-152319,Siliconium,9.987593052109181,0.4,0.5006211180124224,5846.174706140654,1.1830855,1.5910514,1.7138827,1.8003151,1.8156426,1.9116994
3.515,5.0,1280000000.0,124000000.0,578000000.0,15281.333427,SiCube_16.1_5.0_20250428-151818,Carbonium,9.987593052109181,0.5,0.5006211180124224,12823.342868880141,1.3036401,1.7293499,1.8264738,1.8564635,2.0001161,2.0189074
5.323,5.0,182500000.0,48300000.0,67100000.0,15315.300907,SiCube_16.1_5.0_20250428-152041,Germanium,9.987593052109181,0.5,0.5006211180124224,3550.4469426244787,1.3039792,1.7503382,1.8614738,1.9850696,2.0020283,2.1060842
2.329,5.0,223100000.0,63900000.0,79600000.0,15340.476918,SiCube_16.1_5.0_20250428-152319,Siliconium,9.987593052109181,0.5,0.5006211180124224,5846.174706140654,1.3040217,1.7523723,1.8619594,2.0023355,2.0024031,2.1151938
3.515,5.0,1280000000.0,124000000.0,578000000.0,15281.333427,SiCube_16.1_5.0_20250428-151818,Carbonium,9.987593052109181,0.6,0.5006211180124224,12823.342868880141,1.4141281,1.8754,1.9815238,1.9894421,2.1833276,2.1991173
5.323,5.0,182500000.0,48300000.0,67100000.0,15315.300907,SiCube_16.1_5.0_20250428-152041,Germanium,9.987593052109181,0.6,0.5006211180124224,3550.4469426244787,1.4144866,1.8977252,1.9953198,2.1540439,2.1854215,2.2824406
2.329,5.0,223100000.0,63900000.0,79600000.0,15340.476918,SiCube_16.1_5.0_20250428-152319,Siliconium,9.987593052109181,0.6,0.5006211180124224,5846.174706140654,1.4145316,1.8998948,1.9958709,2.1729037,2.1857578,2.2829644
3.515,5.0,1280000000.0,124000000.0,578000000.0,15281.333427,SiCube_16.1_5.0_20250428-151818,Carbonium,9.987593052109181,0.7,0.5006211180124224,12823.342868880141,1.5165195,2.0107801,2.1124636,2.125176,2.3523097,2.3661177
5.323,5.0,182500000.0,48300000.0,67100000.0,15315.300907,SiCube_16.1_5.0_20250428-152041,Germanium,9.987593052109181,0.7,0.5006211180124224,3550.4469426244787,1.5168968,2.0343812,2.1190754,2.3105522,2.3545709,2.4164425
2.329,5.0,223100000.0,63900000.0,79600000.0,15340.476918,SiCube_16.1_5.0_20250428-152319,Siliconium,9.987593052109181,0.7,0.5006211180124224,5846.174706140654,1.5169443,2.0366793,2.1196869,2.3308207,2.354934,2.4168698
3.515,5.0,1280000000.0,124000000.0,578000000.0,15281.333427,SiCube_16.1_5.0_20250428-151818,Carbonium,9.987593052109181,0.8,0.5006211180124224,12823.342868880141,1.6123809,2.1375499,2.2278033,2.2596454,2.509939,2.5222943
