rho,l,C11,C12,C44,duration,name,material,R,z1,l/R,Ct,eta1,eta2,eta3,eta4,eta5,eta6,count_eta1,count_eta2,count_eta3,count_eta4,count_eta5,count_eta6,link
3.515,1.0,1079000000.0,124000000.0,578000000.0,68103.975923,Sphere_10.0_1.0_20250612-212914,Carbon cubic,5.0,0.9,0.2,12823.342868880141,2.3037621,2.3662033,2.4313739,2.5849743,2.8255047,3.0766115,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_0.9_20250612-212914.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,68038.810181,Sphere_10.0_1.0_20250612-213457,Germanium cubic,5.0,0.9,0.2,3550.446942624478,2.0426184,2.0532004,2.4150339,2.5881193,2.8361787,2.9775211,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_0.9_20250612-213457.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,67926.449822,Sphere_10.0_1.0_20250612-213855,Silicon cubic,5.0,0.9,0.2,5846.174706140654,2.0964759,2.1202459,2.4189571,2.5960929,2.9270467,3.071719,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_0.9_20250612-213855.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,68103.975923,Sphere_10.0_1.0_20250612-212914,Carbon cubic,5.0,1.0,0.2,12823.342868880141,2.3790871,2.4207608,2.5102247,2.6456307,2.9175536,3.1428171,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_1.0_20250612-212914.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,68038.810181,Sphere_10.0_1.0_20250612-213457,Germanium cubic,5.0,1.0,0.2,3550.446942624478,2.0993759,2.1096048,2.4933425,2.6480722,2.929406,3.098411,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_1.0_20250612-213457.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,67926.449822,Sphere_10.0_1.0_20250612-213855,Silicon cubic,5.0,1.0,0.2,5846.174706140654,2.1651974,2.1679056,2.4973919,2.6558555,3.0231471,3.1963782,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_1.0_20250612-213855.json&mode=6&magnif=6
2.329,2.0,166000000.0,63900000.0,79600000.0,15753.982727,Sphere_10.0_2.0_20250612-133014,Silicon cubic,5.0,0.0,0.4,5846.174706140654,0.2211175,0.2215593,0.2222667,0.2234237,0.22406,0.2249235,3,2,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_2.0_0.0_20250612-133014.json&mode=6&magnif=6
5.323,2.0,128900000.0,48300000.0,67099999.99999999,15716.187023,Sphere_10.0_2.0_20250612-133020,Germanium cubic,5.0,0.0,0.4,3550.446942624478,0.2178918,0.2183107,0.2189248,0.2191625,0.2197704,0.2205732,3,2,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_2.0_0.0_20250612-133020.json&mode=6&magnif=6
3.515,2.0,1079000000.0,124000000.0,578000000.0,15794.748686,Sphere_10.0_2.0_20250612-133032,Carbon cubic,5.0,0.0,0.4,12823.342868880141,0.2176036,0.2179724,0.2185032,0.2203791,0.2215234,0.2219129,3,2,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_2.0_0.0_20250612-133032.json&mode=6&magnif=6
2.329,2.0,166000000.0,63900000.0,79600000.0,15753.982727,Sphere_10.0_2.0_20250612-133014,Silicon cubic,5.0,0.1,0.4,5846.174706140654,0.9876318,1.1303719,1.1362409,1.228115,1.3069879,1.3373606,3,2,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_2.0_0.1_20250612-133014.json&mode=6&magnif=6
5.323,2.0,128900000.0,48300000.0,67099999.99999999,15716.187023,Sphere_10.0_2.0_20250612-133020,Germanium cubic,5.0,0.1,0.4,3550.446942624478,0.9621806,1.0945833,1.133667,1.1905157,1.2859548,1.2951746,3,2,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_2.0_0.1_20250612-133020.json&mode=6&magnif=6
3.515,2.0,1079000000.0,124000000.0,578000000.0,15794.748686,Sphere_10.0_2.0_20250612-133032,Carbon cubic,5.0,0.1,0.4,12823.342868880141,1.0854605,1.1439089,1.2105519,1.2979213,1.3223819,1.3794458,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_2.0_0.1_20250612-133032.json&mode=6&magnif=6
2.329,2.0,166000000.0,63900000.0,79600000.0,15753.982727,Sphere_10.0_2.0_20250612-133014,Silicon cubic,5.0,0.2,0.4,5846.174706140654,1.1845473,1.3417795,1.3626264,1.5822761,1.6035515,1.6385073,3,2,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_2.0_0.2_20250612-133014.json&mode=6&magnif=6
5.323,2.0,128900000.0,48300000.0,67099999.99999999,15716.187023,Sphere_10.0_2.0_20250612-133020,Germanium cubic,5.0,0.2,0.4,3550.446942624478,1.1541167,1.2994499,1.3601297,1.5339247,1.5874276,1.5888121,3,2,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_2.0_0.2_20250612-133020.json&mode=6&magnif=6
